Area,Connects from,Requirements,Quest Completion,,Location,Area,Requirements,Quest Completion,Id,,Item,,Npc Quests,Requirements,Area,Quest Completion,,Item,Blocker
Gripp's Hoard,,,,,Pickup Axe,Gripp's Hoard,,,Axe,,Axe,,Nari,Magenta Blossom,Garden,,,Cymbal Button,Pickup Rope
Junk Rivers,Gripp's Hoard,Axe,,,Pickup Photo #5,Gripp's Hoard,,,pic.5,,Cog,,Ojet,"Red Paint, Blue Paint, Green Paint",Water Gate,,,Dog Treat,Pickup Dog Treat
Launch Pad,Junk Rivers,,,,Rat Skull #1,Junk Rivers,,,skull.1,,Coal,,Gultch,Cooked Fish Dinner,Mountain,,,Pacifier,Pickup Pacifier
Tunnels,Launch Pad,,,,Pickup Cog,Launch Pad,,,Cog,,Carrot,,Jaz,"Pacifier, Bug Steak, Dog Treat",Lake Path,Cerberus,,Bug Steak,Pickup Bug Steak
Garden,Launch Pad,Coin,,,Pickup Coal,Tunnels,,,Coal,,Worm Castings,,Dungsworth,Cymbal Button,Lake Path,,,Cooked Fish Dinner,Craft Cooked Fish Dinner
Lake Path,Launch Pad,,,,Pickup Photo #3,Tunnels,,,pic.3,,Fancy Button,,Weevilton,"Fancy Button, Cute Button, Basic Button",Mountain Top,,,Red Paint,Craft Red Paint
Water Gate,Lake Path,Valve Handle,,,Rat Skull #6,Tunnels,,,skull.6,,Coin,,Scuttlesby,,Backrooms #3,,,Blue Paint,Craft Blue Paint
Garden,Water Gate,,,,Pickup Carrot,Tunnels,,,Carrot,,Cute Button,,Cerberus,"Pacifier, Bug Steak, Dog Treat",Tunnels,"Dungsworth, Weevilton, Scuttlesby",,Green Paint,Craft Green Paint
Mountain,Launch Pad,Potato Battery,,,Pickup Worm Castings,Tunnels,,,Worm Castings,,Feather,,,,,,,,
Fisherman's Island,Lake Path,Spoon,,,Pickup Fancy Button,Tunnels,,,Fancy Button,,Snail Slime,,,,,,,,
Backrooms #1,Gripp's Hoard,Old Key,,,Pickup Coin,Launch Pad,,,Coin,,Valve Handle,,,,,,,,
Backrooms #2,Backrooms #1,Bone Key,,,Pickup Cute Button,Garden,,,Cute Button,,Potato Battery,,,,,,,,
Backrooms #3,Backrooms #2,Golden Key,,,Pickup Feather,Garden,,,Feather,,Yellow Moss,,,,,,,,
Garden Cave,Garden,Machete,,,Rat Skull #3,Garden,,,skull.3,,Spoon,,,,,,,,
Mountain Top,Mountain,Rope,,,Pickup Snail Slime,Lake Path,,,Snail Slime,,Basic Button,,,,,,,,
Tunnels Cave,Tunnels,,Cerberus,,Pickup Photo #2,Lake Path,,,pic.2,,Match,,,,,,,,
,,,,,Pickup Valve Handle,Lake Path,,,Valve Handle,,Maggot,,,,,,,,
,,,,,Pickup Potato Battery,Lake Path,,,Potato Battery,,Bone Key,,,,,,,,
,,,,,Rat Skull #2,Lake Path,,,skull.2,,Magenta Blossom,,,,,,,,
,,,,,Pickup Photo #1,Lake Path,,,pic.1,,Yellow Pigment,,,,,,,,
,,,,,Pickup Yellow Moss,Lake Path,,,Yellow Moss,,Magenta Pigment,,,,,,,,
,,,,,Pickup Spoon,Mountain,,,Spoon,,Fish,,,,,,,,
,,,,,Rat Skull #7,Mountain,,,skull.7,,Old Key,,,,,,,,
,,,,,Pickup Basic Button,Mountain,,,Basic Button,,Frying Pan,,,,,,,,
,,,,,Pickup Match,Mountain,,,Match,,Machete,,,,,,,,
,,,,,Pickup Maggot,Mountain,,,Maggot,,Cyan Berries,,,,,,,,
,,,,,Rat Skull #8,Mountain,,,skull.8,,Cyan Pigment,,,,,,,,
,,,,,Pickup Bone Key,Mountain,,,Bone Key,,Red Paint,,,,,,,,
,,,,,Pickup Photo #6,Mountain,,,pic.6,,Blue Paint,,,,,,,,
,,,,,Pickup Magenta Blossom,Water Gate,"Potato Battery, Worm Castings",,Magenta Blossom,,Green Paint,,,,,,,,
,,,,,Pickup Fish,Fisherman's Island,Maggot,,Fish,,Bucket,,,,,,,,
,,,,,Pickup Old Key,Junk Rivers,Feather,,Old Key,,Beetle Milk,,,,,,,,
,,,,,Pickup Frying Pan,Backrooms #1,,,Frying Pan,,Cooked Fish Dinner,,,,,,,,
,,,,,Pickup Machete,Backrooms #2,,,Machete,,Rope,,,,,,,,
,,,,,Rat Skull #5,Backrooms #2,,,skull.5,,Golden Key,,,,,,,,
,,,,,Rat Skull #4,Garden Cave,,,skull.4,,Cymbal Button,,,,,,,,
,,,,,Pickup Cyan Berries,Garden Cave,,,Cyan Berries,,Dog Treat,,,,,,,,
,,,,,Craft Cyan Pigment,Garden,Cyan Berries,,Cyan Pigment,,Bug Steak,,,,,,,,
,,,,,Craft Yellow Pigment,Garden,Yellow Moss,,Yellow Pigment,,Pacifier,,,,,,,,
,,,,,Craft Magenta Pigment,Garden,Magenta Blossom,,Magenta Pigment,,,,,,,,,,
,,,,,Craft Red Paint,Water Gate,"Snail Slime, Yellow Pigment, Magenta Pigment, Cyan Pigment",,Red Paint,,,,,,,,,,
,,,,,Craft Blue Paint,Water Gate,"Snail Slime, Yellow Pigment, Magenta Pigment, Cyan Pigment",,Blue Paint,,,,,,,,,,
,,,,,Craft Green Paint,Water Gate,"Snail Slime, Yellow Pigment, Magenta Pigment, Cyan Pigment",,Green Paint,,,,,,,,,,
,,,,,Pickup Bucket,Garden,,,Bucket,,,,,,,,,,
,,,,,Milk Beetle,Launch Pad,Bucket,,Beetle Milk,,,,,,,,,,
,,,,,Craft Cooked Fish Dinner,Mountain,"Coal, Match, Frying Pan, Fish, Carrot, Beetle Milk",,Cooked Fish Dinner,,,,,,,,,,
,,,,,Pickup Rope,Lake Path,,,Rope,,,,,,,,,,
,,,,,Rat Skull #9,Mountain Top,,,skull.9,,,,,,,,,,
,,,,,Pickup Golden Key,Mountain Top,,,Golden Key,,,,,,,,,,
,,,,,Pickup Cymbal Button,Mountain Top,,Weevilton,Cymbal Button,,,,,,,,,,
,,,,,Pickup Dog Treat,Tunnels Cave,,,Dog Treat,,,,,,,,,,
,,,,,Pickup Bug Steak,Tunnels Cave,,,Bug Steak,,,,,,,,,,
,,,,,Pickup Pacifier,Tunnels Cave,,,Pacifier,,,,,,,,,,
,,,,,Pickup Photo #4,Tunnels Cave,,,pic.4,,,,,,,,,,